reporterCode,cmdCode,status,rows,file,message,checked_at
203,282010,downloaded,5,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_203\203_282010_M_2019_partners.csv,,2026-07-15T20:51:25
203,282090,downloaded,12,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_203\203_282090_M_2019_partners.csv,,2026-07-15T20:51:25
203,811100,downloaded,15,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_203\203_811100_M_2019_partners.csv,,2026-07-15T20:51:25
200,260200,no_data,0,,,2026-07-15T20:51:25
200,282010,no_data,0,,,2026-07-15T20:51:25
200,282090,no_data,0,,,2026-07-15T20:51:25
200,811100,no_data,0,,,2026-07-15T20:51:25
408,260200,no_data,0,,,2026-07-15T20:51:25
408,282010,no_data,0,,,2026-07-15T20:51:25
408,282090,no_data,0,,,2026-07-15T20:51:25
408,811100,no_data,0,,,2026-07-15T20:51:25
278,260200,no_data,0,,,2026-07-15T20:51:26
278,282010,no_data,0,,,2026-07-15T20:51:26
278,282090,no_data,0,,,2026-07-15T20:51:26
278,811100,no_data,0,,,2026-07-15T20:51:26
180,260200,downloaded,3,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_180\180_260200_M_2019_partners.csv,,2026-07-15T20:51:26
180,282010,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_180\180_282010_M_2019_partners.csv,,2026-07-15T20:51:26
180,282090,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_180\180_282090_M_2019_partners.csv,,2026-07-15T20:51:26
180,811100,downloaded,2,E:\zjl\CMU\research\EVSupplyChain\data\UNComtrade_2019_Import_ByPartner\reporter_180\180_811100_M_2019_partners.csv,,2026-07-15T20:51:26
866,260200,no_data,0,,,2026-07-15T20:51:26
866,282010,no_data,0,,,2026-07-15T20:51:26
866,282090,no_data,0,,,2026-07-15T20:51:26
866,811100,no_data,0,,,2026-07-15T20:51:26
720,260200,no_data,0,,,2026-07-15T20:51:26
720,282010,no_data,0,,,2026-07-15T20:51:26
720,282090,no_data,0,,,2026-07-15T20:51:26
720,811100,no_data,0,,,2026-07-15T20:51:26
